Brand,Model,Year,image_file,Total megapixels,Max_Exposure_Comp,Normal_Focus_cm,Battery,Sensor resolution,Crop factor,Sensor type,Dimensions,Max aperture,Min_Aperture_F,Min_Shutter_Speed_Sec,White balance presets,Macro_Focus_cm,Optical zoom,USB,Weight_g,Max. aperture (35mm equiv.),Focal length (35mm equiv.),Also known as,Aperture priority,Max. image resolution,Max_Shutter_Speed_Sec,Storage types,Effective megapixels,Megapixels,Max. video resolution,Screen_Size_in,Metering,Digital zoom,Shutter priority,Sensor size,Viewfinder,Screen_Res_Dots,Max_ISO,Dim_L,Dim_W,Dim_H,Supports_4K,Portability_Score,Aperture_Value,LowLight_Score,Video_Score
Canon,PowerShot G9 X Mark II,2017,data/images/canon_powershot-g9-x-mark-ii.jpg,20.9,3,5,NB-13L lithium-ion battery,5505 x 3670,2.73,CMOS,98 x 57.9 x 31.3 mm,f2 - 4.9,2,30,6,5,3x,USB 2.0 (480 Mbit/sec),206,f5.5 - f13.4,28 - 84 mm,,Yes,5472 x 3648,0.0005,SD/SDHC/SDXC,20.2,,1920x1080 (60p/30p/24p),3,"Multi, Center-weighted, Spot",Yes,Yes,13.2 x 8.8 mm,,1040000,12800,98,57.9,31.3,FALSE,45.39877301,0.5,91.35805912,39.55800335
Canon,EOS M100,2017,data/images/canon_eos-m100.jpg,25.8,3,,LP-E12 lithium-ion battery,6026 x 4017,1.61,CMOS,108.2 x 67.1 x 35.1 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),302,,,,Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,,1040000,25600,108.2,67.1,35.1,FALSE,29.82152817,,67.55577245,31.22559955
Canon,EOS Rebel T7i,2017,data/images/canon_eos-rebel-t7i.jpg,25.8,5,,LP-E17 lithium-ion battery,6026 x 4017,1.61,CMOS,131 x 99.9 x 76.2 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),532,,,"EOS 800D,EOS Kiss X9i(Japan)",Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.2,,1920x1080 (60p/30p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,Optical (pentamirror),1040000,51200,131,99.9,76.2,FALSE,20,,68.88733965,31.22559955
Canon,EOS Rebel SL2,2017,data/images/canon_eos-rebel-sl2.jpg,25.8,5,,LP-E17 lithium-ion battery,6026 x 4017,1.61,CMOS,122.4 x 92.6 x 69.8 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),453,,,"EOS 200D,EOS Kiss X9(Japan)",Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,Optical (pentamirror),1040000,51200,122.4,92.6,69.8,FALSE,20,,68.88733965,31.22559955
Canon,PowerShot SX730 HS,2017,data/images/canon_powershot-sx730-hs.jpg,21.1,2,5,NB-13L lithium-ion battery,5196 x 3907,5.62,CMOS,110.1 x 63.8 x 39.9 mm,f3.3 - f6.9,3.3,15,5,1,40x,USB 2.0 (480 Mbit/sec),300,f18.5 - f38.8,24 - 960 mm,,Yes,5184 x 3888,0.0003125,SD/SDHC/SDXC,20.3,,1920x1080 (60p/30p),3,"Multi, Center-weighted, Spot",Yes,Yes,"1/2.3"" (~ 6.16 x 4.62 mm)",,921600,3200,110.1,63.8,39.9,FALSE,28.78416062,0.303030303,56.16982711,32.97406581
Canon,PowerShot G1 X Mark III,2017,data/images/canon_powershot-g1-x-mark-iii.png,25.8,3,10,NB-13L lithium-ion battery,6026 x 4017,1.61,CMOS,115 x 77.9 x 51.4 mm,f2.8 - f5.6,2.8,30,7,10,3x,USB 2.0 (480 Mbit/sec),399,f4.5 - f9,24 - 72 mm,,Yes,6000 x 4000,0.0005,SD/SDHC/SDXC,24.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot",Yes,Yes,22.3 x 14.9 mm,Electronic,1040000,25600,115,77.9,51.4,FALSE,20,0.357142857,86.39570552,39.55800335
Canon,EOS 77D,2017,data/images/canon_eos-77d.jpg,25.8,5,,LP-E17 lithium-ion battery,6026 x 4017,1.61,CMOS,131 x 99.9 x 76.2 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),540,,,EOS 9000D,Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,Optical (pentamirror),1040000,51200,131,99.9,76.2,FALSE,20,,68.88733965,31.22559955
Canon,EOS 6D Mark II,2017,data/images/canon_eos-6d-mark-ii.jpg,27.1,5,,LP-E6N lithium-ion battery,6269 x 4179,1,CMOS,144 x 110.5 x 74.8 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),765,,,,Yes,6240 x 4160,0.00025,SD/SDHC/SDXC,26.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,35.9 x 24 mm,Optical (pentaprism),1040000,102400,144,110.5,74.8,FALSE,20,,71.3803681,31.22559955
Canon,EOS M6,2017,data/images/canon_eos-m6.jpg,25.8,3,,LP-E17 lithium-ion battery,6026 x 4017,1.61,CMOS,112 x 68 x 44.5 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),343,,,,Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.2,,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,Electronic (optional),1040000,25600,112,68,44.5,FALSE,24.78248745,,67.55577245,31.22559955
Fujifilm,FinePix XP120,2017,data/images/fujifilm_finepix-xp120.jpg,16.76,2,60,NP-45S lithium-ion battery,4671 x 3512,5.62,CMOS,109.6 x 71 x 27.8 mm,f3.9 - f4.9,3.9,4,7,9,5x,USB 2.0 (480 Mbit/sec),203,f21.9 - f27.5,28 - 140 mm,,No,4608 x 3456,0.0005,SD/SDHC/SDXC,16.4,,1920x1080 (60p/30p),3,"Multi, Center-weighted, Spot",Yes,No,"1/2.3"" (~ 6.16 x 4.62 mm)",,921600,3200,109.6,71,27.8,FALSE,41.90462911,0.256410256,51.57696598,39.55800335
Fujifilm,X100F,2017,data/images/fujifilm_x100f.jpg,,5,80,NP-W126S Li-ion battery,6058 x 4012,1.53,CMOS,126.5 x 74.8 x 52.4 mm,f2.0,2,30,7,10,1x,USB 2.0 (480 Mbit/sec),469,f3.1,35 mm,,Yes,6000 x 4000,3.13E-05,SD/SDHC/SDXC,,24.3,1920x1080 (60p/50p/30p/25p/24p),3,"Multi, Center-weighted, Average, Spot",Yes,Yes,23.6 x 15.6 mm,Electronic and Optical (tunnel),1036800,51200,126.5,74.8,52.4,FALSE,20,0.5,96.18516453,27.08031233
Fujifilm,X-T20,2017,data/images/fujifilm_x-t20.jpg,,5,,NP-W126S lithium-ion battery,6058 x 4012,1.53,CMOS,118.4 x 82.8 x 41.4 mm,,,30,7,,,USB 2.0 (480 Mbit/sec),383,,,,Yes,6000 x 4000,3.13E-05,SD/SDHC/SDXC,,24.3,3840x2160 (30p/25p/24p),3,"Multi, Center-weighted, Average, Spot",,Yes,23.6 x 15.6 mm,Electronic,1040000,51200,118.4,82.8,41.4,TRUE,21.48633575,,69.60680424,67.08031233
